Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Opponent Position(x),Opponent Position(y),score,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,90.575203,11,0,0,service_box,ad,near,-1.596239,6.988581,no_mans_land,ad,far,0.564062,23.537283,2.074469,down the T,In,FALSE,11:49:24,203.800003,-3.613179,-0.422801,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Forehand,Topspin,71.136673,11,0,0,no_mans_land,ad,far,1.606696,22.166685,no_mans_land,ad,near,-2.317348,-0.439409,1.30178,inside out,In,FALSE,11:49:25,205.050003,0.64117,24.247965,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Flat,69.977264,11,0,0,out,deuce,near,3.167252,-3.874678,out,ad,far,1.848077,24.146439,1.046737,down the line,Out,FALSE,11:49:27,206.580002,-2.16489,-1.031956,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,100.589516,13,0,0,service_box,deuce,near,1.436656,6.182028,no_mans_land,deuce,far,-0.821916,23.527176,2.729228,down the T,In,FALSE,11:49:43,222.869995,3.356711,-0.422801,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Flat,75.945801,13,0,0,no_mans_land,ad,far,0.852378,21.049902,no_mans_land,deuce,near,2.119631,0.063319,1.1687,inside in,In,FALSE,11:49:44,223.970001,-0.445047,23.943386,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Topspin,70.854523,13,0,0,no_mans_land,deuce,near,1.606696,1.455426,out,ad,far,0.580824,24.349489,1.122544,down the line,In,FALSE,11:49:46,225.309998,1.095295,-0.676616,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,74.64814,13,0,0,no_mans_land,deuce,far,-2.587308,19.618528,out,deuce,near,1.729561,-1.945688,1.176311,cross court,In,FALSE,11:49:47,226.850006,0.339443,24.298727,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Forehand,Topspin,58.149796,13,0,0,out,ad,near,-1.350228,-1.387296,out,deuce_alley,far,-4.156288,25.263222,1.154954,down the line,Out,FALSE,11:49:49,228.600006,0.76186,-0.93043,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,97.033241,15,0,0,service_box,ad,near,-1.610803,6.734766,no_mans_land,ad,far,0.444574,23.588047,2.247,down the T,In,FALSE,11:50:06,245.490005,-3.583006,-0.625853,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Forehand,Topspin,78.042587,15,0,0,no_mans_land,ad,far,2.639913,21.862108,out,ad,near,-2.044199,-0.422801,1.19839,inside out,In,FALSE,11:50:07,246.610001,0.550651,24.247965,40-ad,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Topspin,70.038315,15,0,0,no_mans_land,deuce,near,2.128895,2.610466,out,ad,far,3.447229,25.024935,1.078743,down the line,In,FALSE,11:50:08,247.899994,-2.376099,-0.372039,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,87.844025,15,0,0,out,ad,far,2.56339,24.568428,out,deuce,near,2.119631,-1.077505,1.158652,down the line,Out,FALSE,11:50:10,249.570007,0.942896,24.50178,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,none,Feed,Topspin,57.987125,15,0,0,out,ad,far,0.177194,24.052197,out,deuce,near,3.099297,-1.489391,0.789944,---,Out,FALSE,11:50:14,253.300003,3.101231,-1.498898,40-ad,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,101.500923,16,0,0,service_box,ad,far,2.285147,18.288,no_mans_land,deuce,far,-0.519009,23.551985,2.370938,out wide,Net,FALSE,11:50:25,264.450012,3.236021,-0.168987,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,second_serve,Serve,Kick,92.212639,16,0,0,service_box,deuce,near,1.539235,7.172938,no_mans_land,deuce,far,-0.717348,23.748573,2.553993,down the T,In,FALSE,11:50:31,270.76001,2.029113,1.049322,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Forehand,Flat,75.441391,16,0,0,out,ad,far,3.11533,24.857119,no_mans_land,deuce,near,2.659438,1.354171,1.176026,down the line,Out,FALSE,11:50:32,272,-1.078673,24.552542,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,89.338516,18,0,0,service_box,ad,near,-2.49679,7.699261,no_mans_land,ad,far,0.128234,23.278746,2.124762,out wide,In,FALSE,11:50:56,295.660004,-3.160589,-0.422801,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Slice,62.687122,18,0,0,no_mans_land,deuce,far,-0.581189,22.166685,no_mans_land,ad,near,-3.703697,0.436441,0.898684,down the line,In,FALSE,11:50:57,296.929993,0.580824,24.298727,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Forehand,Flat,71.690041,18,0,0,no_mans_land,deuce,near,0.668052,3.248036,no_mans_land,deuce,far,-0.539871,24.881916,1.113305,cross court,In,FALSE,11:50:59,298.829987,-0.037716,-0.879668,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,83.182091,18,0,0,service_box,ad,far,1.274796,18.257942,out,deuce,near,0.700371,-0.944439,1.27136,down the line,In,FALSE,11:51:01,300.399994,0.725138,24.400253,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Backhand,Topspin,61.615242,18,0,0,no_mans_land,ad,near,-3.522661,4.450436,out,ad,far,1.033414,24.146439,0.79548,cross court,In,FALSE,11:51:02,301.869995,-0.505392,-0.676616,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Backhand,Topspin,69.23542,18,0,0,service_box,ad,far,1.576523,16.63353,out,ad_alley,near,-4.820086,-2.097977,1.128525,down the line,In,FALSE,11:51:04,303.76001,0.610997,24.400253,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Backhand,Slice,53.079842,18,0,0,no_mans_land,deuce,near,3.296366,3.162243,no_mans_land,ad,far,3.490509,21.963634,0.809812,down the line,In,FALSE,11:51:06,305.399994,-2.315754,-1.082719,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Forehand,Topspin,75.426254,18,0,0,no_mans_land,ad,far,2.964466,22.065161,no_mans_land,deuce,near,3.929992,0.846271,0.732598,down the line,In,FALSE,11:51:08,307.290009,0.339443,24.349489,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,9,in_play,Backhand,Flat,61.236683,18,0,0,service_box,deuce_alley,near,4.823027,5.996119,out,ad,far,2.961158,25.110933,0.992707,down the line,Out,FALSE,11:51:09,308.649994,2.66274,1.150848,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,9,none,Feed,Flat,42.900944,18,0,0,service_box,deuce,near,1.796077,9.188576,out,deuce_alley,near,4.342991,-1.586202,0.515934,---,Net,FALSE,11:51:11,310.630005,4.343735,-1.581431,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Slice,96.574799,19,0,0,service_box,deuce,near,1.065967,7.902371,no_mans_land,deuce,far,-0.767905,23.334232,2.414719,down the T,In,FALSE,11:51:33,332.649994,3.749125,-0.828905,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Topspin,70.387184,19,0,0,no_mans_land,deuce,far,-0.755534,21.197548,out,deuce,near,2.179976,-0.987638,0.779463,inside out,In,FALSE,11:51:34,333.929993,-0.500397,23.99415,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Forehand,Topspin,81.548683,19,0,0,service_box,deuce,near,1.54635,6.734766,out,deuce,far,-0.445047,24.349489,1.216549,cross court,In,FALSE,11:51:36,335.709991,1.285634,-0.676616,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,81.562714,19,0,0,no_mans_land,deuce,far,-2.548162,22.674314,out,deuce,near,1.99894,-0.639347,0.767807,cross court,In,FALSE,11:51:37,337.100006,-0.315635,24.197201,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Forehand,Topspin,70.988861,19,0,0,no_mans_land,ad,near,-3.039898,1.963055,out,deuce,far,-2.339891,25.060171,1.015275,down the line,In,FALSE,11:51:39,338.480011,1.193254,-0.57509,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Backhand,Topspin,73.541115,19,0,0,no_mans_land,ad,far,1.88215,21.642109,out,ad,near,-3.176992,-0.879668,0.984832,cross court,In,FALSE,11:51:40,339.970001,0.423413,24.451015,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Forehand,Topspin,82.374725,19,0,0,service_box,ad,near,-0.750686,6.421137,no_mans_land,ad,far,2.707063,24.619169,1.446511,inside out,In,FALSE,11:51:42,341.5,-1.454999,-0.727379,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Backhand,Slice,39.711079,19,0,0,service_box,deuce,far,-2.919207,14.653778,no_mans_land,ad,near,-2.285581,1.219889,1.085925,down the line,In,FALSE,11:51:43,342.910004,2.055475,24.552542,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,9,in_play,Forehand,Flat,28.655201,19,0,0,service_box,ad,near,-2.526963,9.628251,service_box,deuce,far,-2.718056,16.836582,0.794221,down the line,In,FALSE,11:51:46,345.200012,-1.054682,1.455426,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,10,in_play,Backhand,Slice,45.727749,19,0,0,out,deuce,far,-2.647653,24.958645,service_box,ad,near,-2.436444,7.699261,0.892581,down the line,Out,FALSE,11:51:47,347.049988,-1.639761,13.536994,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,93.213699,20,0,0,service_box,ad,near,-1.307436,7.597735,no_mans_land,ad,far,0.302334,23.384995,2.454905,down the T,In,FALSE,11:52:09,368.579987,-3.24103,-0.625853,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Forehand,Topspin,75.456963,20,0,0,no_mans_land,ad,far,2.210993,22.522026,out,ad,near,-1.591609,-0.11344,1.223781,inside out,In,FALSE,11:52:10,369.730011,0.608174,24.349489,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Slice,55.538307,20,0,0,no_mans_land,deuce,near,1.425659,3.333652,out,ad,far,2.33084,24.197201,0.992973,down the line,In,FALSE,11:52:12,371.230011,-1.270238,-0.676616,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,81.878677,20,0,0,no_mans_land,ad,far,1.244675,20.592636,out,deuce,near,1.033414,-0.446386,0.961383,down the line,In,FALSE,11:52:14,373.200012,0.708309,24.552542,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Backhand,Flat,68.98333,20,0,0,no_mans_land,deuce,near,2.70917,3.458151,no_mans_land,ad,far,1.491715,24.897217,1.296994,down the line,In,FALSE,11:52:15,374.630005,0.115476,-0.828905,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Forehand,Topspin,74.341629,20,0,0,no_mans_land,ad,far,1.817904,18.664045,out,deuce,near,2.812961,-1.21478,1.049073,down the line,In,FALSE,11:52:17,376.320007,-0.315635,24.298727,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Backhand,Topspin,77.539101,20,0,0,service_box,deuce,near,3.929992,6.227138,out,ad,far,1.425659,24.654068,0.909951,down the line,In,FALSE,11:52:18,377.880005,0.638968,-1.082719,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Forehand,Slice,59.063663,20,0,0,no_mans_land,deuce,far,-1.018328,18.379768,out,deuce_alley,near,5.046381,-0.57509,0.831642,down the line,In,FALSE,11:52:20,379.459991,0.792936,20.643799,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,9,in_play,FH Volley,Flat,62.189087,20,0,0,no_mans_land,ad,near,-2.557135,2.608988,no_mans_land,deuce,far,-0.626083,18.359468,1.106747,down the line,In,FALSE,11:52:21,380.779999,2.917697,-0.778142,ad-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,10,in_play,Backhand,Topspin,72.588097,20,0,0,no_mans_land,deuce,far,-3.311452,20.482622,out,ad,near,-2.765802,-1.707602,0.866544,down the line,In,FALSE,11:52:23,382.299988,-0.100079,16.481241,ad-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,83.990532,21,0,0,service_box,ad,far,1.123932,11.912581,no_mans_land,deuce,far,-0.336454,23.435759,2.726436,down the T,Net,FALSE,11:52:49,408.579987,3.236021,-0.168987,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,second_serve,Serve,Slice,85.746262,21,0,0,service_box,ad,near,-0.656256,7.242395,no_mans_land,deuce,far,-0.57736,23.435759,2.576934,down the T,Out,FALSE,11:52:55,415.100006,2.029113,1.049322,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,1,none,Feed,Flat,43.647297,21,0,0,no_mans_land,deuce,far,-2.027025,19.148806,no_mans_land,deuce,near,0.553685,4.682724,1.064933,---,In,FALSE,11:52:57,416.230011,-1.078673,24.552542,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,85.776237,23,0,0,service_box,ad,near,-2.911274,7.49621,no_mans_land,ad,far,0.30927,23.372702,1.992117,out wide,In,FALSE,11:53:17,436.359985,-3.613179,-0.422801,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Topspin,76.461548,23,0,0,no_mans_land,ad,far,1.274796,20.897614,no_mans_land,ad_alley,near,-4.665994,-0.13731,0.980267,down the line,In,FALSE,11:53:18,437.579987,0.64117,24.247965,40-ad,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Slice,56.179386,23,0,0,no_mans_land,deuce,near,2.089458,2.115343,out,ad,far,1.87825,24.527861,1.000008,down the line,In,FALSE,11:53:19,438.899994,-1.701349,-0.778142,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Forehand,Topspin,75.992867,23,0,0,no_mans_land,deuce,far,-0.746774,22.522026,out,deuce,near,2.270495,-1.46384,0.825623,cross court,In,FALSE,11:53:21,441.089996,-0.100079,24.654068,40-ad,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Forehand,Topspin,68.541031,23,0,0,service_box,ad,near,-1.108846,6.480952,out,deuce,far,-1.169192,25.893412,1.073032,down the line,In,FALSE,11:53:23,442.619995,0.546587,-0.727379,40-ad,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Forehand,Topspin,87.433449,23,0,0,no_mans_land,deuce,far,-2.846744,21.557531,no_mans_land,ad,near,-0.807119,2.318395,1.347314,inside in,In,FALSE,11:53:25,444.170013,-0.161667,24.349489,40-ad,,,,,,,,,,,,,,,,
